designation,fy_flange_300plus,fy_web_300plus,kf_300plus,compactness_x_300plus,Ze_x_300plus,compactness_y_300plus,Ze_y_300plus
610UB125,280.0,300.0,0.95,C,3680,C,515.0
610UB113,280.0,300.0,0.926,C,3290,C,451.0
610UB102,300.0,320.0,0.888,C,2900,C,386.0
530UB92.4,300.0,320.0,0.928,C,2370,C,342.0
530UB82.0,300.0,320.0,0.902,C,2070,C,289.0
460UB82.1,300.0,320.0,0.979,C,1840,C,292.0
460UB74.6,300.0,320.0,0.948,C,1660,C,262.0
460UB67.1,300.0,320.0,0.922,C,1480,C,230.0
410UB59.7,300.0,320.0,0.938,C,1200,C,203.0
410UB53.7,320.0,320.0,0.913,C,1060,C,173.0
360UB56.7,300.0,320.0,0.996,C,1010,C,193.0
360UB50.7,300.0,320.0,0.963,C,897,C,168.0
360UB44.7,320.0,320.0,0.93,N,770,N,140.0
310UB46.2,300.0,320.0,0.991,C,729,C,163.0
310UB40.4,320.0,320.0,0.952,C,633,C,139.0
310UB32.0,320.0,320.0,0.915,N,467,N,86.9
250UB37.3,320.0,320.0,1.0,C,486,C,116.0
250UB31.4,320.0,320.0,1.0,N,395,N,91.4
250UB25.7,320.0,320.0,0.949,C,319,C,61.7
200UB29.8,320.0,320.0,1.0,C,316,C,86.3
200UB25.4,320.0,320.0,1.0,N,259,N,68.8
200UB22.3,320.0,320.0,1.0,N,227,N,60.3
200UB18.2,320.0,320.0,0.99,C,180,C,34.4
180UB22.2,320.0,320.0,1.0,C,195,C,40.7
180UB18.1,320.0,320.0,1.0,C,157,C,32.5
180UB16.1,320.0,320.0,1.0,C,138,C,28.4
150UB18.0,320.0,320.0,1.0,C,135,C,26.9
150UB14.0,320.0,320.0,1.0,C,102,C,19.8
